ID,Season,Race,Overtakes,TV,Percentage
729,2022,Singapore,16,11,68.75
730,2022,Japan,28,13,46.43
731,2022,USA,85,35,41.18
732,2022,Mexico,24,18,75.0
733,2022,Brazil Sprint,39,17,43.59
734,2022,Brazil,77,41,53.25
735,2022,Abu Dhabi,79,40,50.63
736,2022,Season,994,550,55.33
737,2023,Bahrain,37,19,51.35
738,2023,Saudi Arabia,36,17,47.22
739,2023,Australia,29,19,63.33
740,2023,Azerbaijan Sprint,20,14,70.0
741,2023,Azerbaijan,23,19,82.61
742,2023,Miami,62,43,69.35
743,2023,Monaco,22,12,54.55
744,2023,Spain,65,42,64.62
745,2023,Canada,20,19,95.0
746,2023,Austria Sprint,46,28,60.87
747,2023,Austria,63,45,71.43
748,2023,Great Britain,26,17,65.38
749,2023,Hungary,16,15,93.75
750,2023,Belgium Sprint,13,7,46.67
751,2023,Belgium,75,50,69.44
752,2023,Netherlands,188,59,31.38
753,2023,Italy,31,15,48.39
754,2023,Singapore,42,23,54.76
755,2023,Japan,29,23,79.31
756,2023,Qatar Sprint,31,18,58.06
757,2023,Qatar,48,38,79.17
758,2023,USA Sprint,18,10,55.56
759,2023,USA,47,28,59.57
760,2023,Mexico,48,29,60.42
761,2023,Brazil Sprint,35,22,62.86
762,2023,Brazil,25,18,72.0
763,2023,Las Vegas,99,54,54.55
764,2023,Abu Dhabi,70,50,71.43
765,2023,Season,1101,654,59.4
766,2024,Bahrain,36,26,72.22
767,2024,Saudi Arabia,25,17,68.00
768,2024,Australia,24,12,50.00
