resultId,raceId,driverId,constructorId,driverCurrentNumber,grid,positionOrder,positionText,position,points,laps,totalRaceTime,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24806,1040,815,211,11.0,4,4.0,4,4,12.0,53,+30.558,5670922.0,52.0,8.0,1:38.141,214.515,1
24807,1040,817,4,3.0,5,5.0,5,5,10.0,53,+52.065,5692429.0,53.0,6.0,1:37.886,215.074,1
24808,1040,844,6,16.0,10,6.0,6,6,8.0,53,+1:02.186,5702550.0,47.0,11.0,1:39.053,212.54,1
24809,1040,839,4,31.0,7,7.0,7,7,6.0,53,+1:08.006,5708370.0,48.0,13.0,1:39.216,212.191,1
24810,1040,826,213,26.0,11,8.0,8,8,4.0,53,+1:08.740,5709104.0,48.0,12.0,1:39.133,212.369,1
24811,1040,842,213,10.0,9,9.0,9,9,2.0,53,+1:29.766,5730130.0,50.0,2.0,1:37.231,216.523,1
24812,1040,848,9,23.0,15,10.0,10,10,1.0,53,+1:37.860,5738224.0,51.0,9.0,1:38.377,214.001,1
24813,1040,841,51,99.0,17,11.0,11,11,0.0,52,,,44.0,16.0,1:39.766,211.021,11
24814,1040,825,210,20.0,18,12.0,12,12,0.0,52,,,52.0,17.0,1:40.380,209.731,11
24815,1040,20,6,5.0,14,13.0,13,13,0.0,52,,,46.0,14.0,1:39.588,211.398,11
24816,1040,8,51,7.0,19,14.0,14,14,0.0,52,,,37.0,10.0,1:38.858,212.96,11
24817,1040,846,1,4.0,8,15.0,15,15,0.0,52,,,50.0,5.0,1:37.377,216.198,11
24818,1040,849,3,6.0,20,16.0,16,16,0.0,52,,,47.0,18.0,1:41.044,208.352,11
24819,1040,154,210,8.0,16,17.0,17,17,0.0,52,,,44.0,15.0,1:39.614,211.343,11
24820,1040,847,3,63.0,13,18.0,18,18,0.0,52,,,52.0,4.0,1:37.352,216.254,11
24821,1040,832,1,55.0,6,,R,19,0.0,0,,,,0.0,,,3
24822,1040,840,211,18.0,12,,R,20,0.0,0,,,,0.0,,,4
24823,1041,1,131,44.0,2,1.0,1,1,25.0,60,1:35:49.641,5749641.0,58.0,2.0,1:28.145,210.253,1
24824,1041,830,9,33.0,3,2.0,2,2,19.0,60,+4.470,5754111.0,60.0,1.0,1:28.139,210.267,1
24825,1041,817,4,3.0,6,3.0,3,3,15.0,60,+14.613,5764254.0,53.0,3.0,1:29.584,206.876,1
24826,1041,815,211,11.0,9,4.0,4,4,12.0,60,+16.070,5765711.0,58.0,4.0,1:29.700,206.608,1
24827,1041,832,1,55.0,10,5.0,5,5,10.0,60,+21.905,5771546.0,53.0,6.0,1:30.129,205.625,1
24828,1041,842,213,10.0,12,6.0,6,6,8.0,60,+22.766,5772407.0,53.0,5.0,1:30.110,205.668,1
24829,1041,844,6,16.0,4,7.0,7,7,6.0,60,+30.814,5780455.0,54.0,10.0,1:30.712,204.303,1
