qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
350,18,20,5,15,10,1:26.702,1:25.842,\N
351,18,22,11,17,11,1:26.369,1:26.173,\N
352,18,4,4,5,12,1:26.907,1:26.188,\N
353,18,18,11,16,13,1:26.712,1:26.259,\N
354,18,6,3,8,14,1:26.891,1:26.413,\N
355,18,17,9,10,15,1:26.914,\N,\N
356,18,8,6,1,16,1:26.140,\N,\N
357,18,21,10,21,17,1:27.207,\N,\N
358,18,7,5,14,18,1:27.446,\N,\N
359,18,16,10,20,19,1:27.859,\N,\N
360,18,11,8,18,20,1:28.208,\N,\N
361,18,12,4,6,21,1:28.330,\N,\N
362,18,19,8,19,22,1:29.059,\N,\N
363,19,13,6,2,1,1:35.347,1:34.412,1:35.748
364,19,8,6,1,2,1:35.645,1:34.188,1:36.230
365,19,5,1,23,3,1:35.227,1:34.759,1:36.613
366,19,1,1,22,4,1:35.392,1:34.627,1:36.709
367,19,15,7,11,5,1:35.205,1:34.960,1:36.711
368,19,9,2,4,6,1:35.794,1:34.811,1:36.727
369,19,2,2,3,7,1:35.729,1:34.648,1:36.753
370,19,17,9,10,8,1:35.440,1:34.967,1:37.009
371,19,4,4,5,9,1:35.983,1:35.140,1:38.450
372,19,10,7,12,10,1:35.891,1:35.000,1:39.656
373,19,18,11,16,11,1:35.847,1:35.208,\N
374,19,14,9,9,12,1:36.058,1:35.408,\N
375,19,12,4,6,13,1:36.074,1:35.562,\N
376,19,22,11,17,14,1:36.198,1:35.622,\N
377,19,20,5,15,15,1:36.111,1:35.648,\N
378,19,3,3,7,16,1:35.843,1:35.670,\N
379,19,21,10,21,17,1:36.240,\N,\N
380,19,6,3,8,18,1:36.388,\N,\N
381,19,7,5,14,19,1:36.677,\N,\N
382,19,11,8,18,20,1:37.087,\N,\N
383,19,16,10,20,21,1:37.101,\N,\N
384,19,19,8,19,22,1:37.481,\N,\N
385,20,9,2,4,1,1:32.893,1:31.745,1:33.096
386,20,13,6,2,2,1:31.937,1:31.188,1:33.123
387,20,1,1,22,3,1:32.750,1:31.922,1:33.292
388,20,8,6,1,4,1:32.652,1:31.933,1:33.418
389,20,5,1,23,5,1:33.057,1:31.718,1:33.488
390,20,2,2,3,6,1:33.137,1:31.909,1:33.737
391,20,15,7,11,7,1:32.493,1:32.159,1:33.994
392,20,3,3,7,8,1:32.903,1:32.185,1:34.015
393,20,18,11,16,9,1:32.793,1:32.362,1:35.057
394,20,4,4,5,10,1:32.947,1:32.345,1:35.115
395,20,17,9,10,11,1:33.194,1:32.371,\N
396,20,22,11,17,12,1:32.944,1:32.508,\N
397,20,10,7,12,13,1:32.800,1:32.528,\N
398,20,12,4,6,14,1:32.975,1:32.790,\N
399,20,7,5,14,15,1:33.415,1:32.915,\N
400,20,6,3,8,16,1:33.386,1:32.943,\N
401,20,14,9,9,17,1:33.433,\N,\N
402,20,21,10,21,18,1:33.501,\N,\N
403,20,20,5,15,19,1:33.562,\N,\N
404,20,16,10,20,20,1:33.845,\N,\N
405,20,19,8,19,21,1:34.140,\N,\N
406,20,11,8,18,22,1:35.725,\N,\N
407,21,8,6,1,1,1:20.701,1:20.784,1:21.813
408,21,4,4,5,2,1:21.347,1:20.804,1:21.904
409,21,13,6,2,3,1:21.528,1:20.584,1:22.058
410,21,9,2,4,4,1:21.423,1:20.597,1:22.065
411,21,1,1,22,5,1:21.366,1:20.825,1:22.096
412,21,5,1,23,6,1:21.430,1:20.817,1:22.231
413,21,17,9,10,7,1:21.494,1:20.984,1:22.429
414,21,15,7,11,8,1:21.158,1:20.907,1:22.529
415,21,2,2,3,9,1:21.466,1:20.815,1:22.542
416,21,12,4,6,10,1:21.409,1:20.894,1:22.699
417,21,22,11,17,11,1:21.548,1:21.049,\N
418,21,6,3,8,12,1:21.690,1:21.117,\N
419,21,18,11,16,13,1:21.757,1:21.211,\N
420,21,10,7,12,14,1:21.427,1:21.230,\N
421,21,3,3,7,15,1:21.472,1:21.349,\N
422,21,7,5,14,16,1:21.540,1:21.724,\N
423,21,14,9,9,17,1:21.810,\N,\N
424,21,20,5,15,18,1:22.108,\N,\N
425,21,21,10,21,19,1:22.516,\N,\N
426,21,16,10,20,20,1:23.224,\N,\N
427,21,19,8,19,21,1:23.318,\N,\N
428,21,11,8,18,22,1:23.496,\N,\N
429,22,13,6,2,1,1:25.994,1:26.192,1:27.617
430,22,5,1,23,2,1:26.736,1:26.290,1:27.808
431,22,1,1,22,3,1:26.192,1:26.477,1:27.923
432,22,8,6,1,4,1:26.457,1:26.050,1:27.936
433,22,9,2,4,5,1:26.761,1:26.129,1:28.390
434,22,17,9,10,6,1:26.773,1:26.466,1:28.417
435,22,4,4,5,7,1:26.836,1:26.522,1:28.422
436,22,15,7,11,8,1:26.695,1:26.822,1:28.836
437,22,2,2,3,9,1:27.107,1:27.607,1:28.882
438,22,14,9,9,10,1:26.939,1:26.520,1:29.959
439,22,3,3,7,11,1:27.367,1:27.012,\N
440,22,22,11,17,12,1:27.355,1:27.219,\N
441,22,18,11,16,13,1:27.428,1:27.298,\N
442,22,20,5,15,14,1:27.442,1:27.412,\N
443,22,10,7,12,15,1:26.614,1:27.806,\N
444,22,6,3,8,16,1:27.547,\N,\N
445,22,12,4,6,17,1:27.568,\N,\N
446,22,7,5,14,18,1:27.621,\N,\N
447,22,21,10,21,19,1:27.807,\N,\N
448,22,16,10,20,20,1:28.325,\N,\N
449,23,13,6,2,1,1:15.190,1:15.110,1:15.787
450,23,8,6,1,2,1:15.717,1:15.404,1:15.815
451,23,1,1,22,3,1:15.582,1:15.322,1:15.839
452,23,5,1,23,4,1:15.295,1:15.389,1:16.165
453,23,9,2,4,5,1:15.977,1:15.483,1:16.171
454,23,3,3,7,6,1:15.935,1:15.287,1:16.548
455,23,4,4,5,7,1:16.646,1:15.827,1:16.852
456,23,15,7,11,8,1:16.306,1:15.598,1:17.203
457,23,17,9,10,9,1:16.074,1:15.745,1:17.343
458,23,14,9,9,10,1:16.086,1:15.839,\N
459,23,10,7,12,11,1:16.285,1:15.907,\N
460,23,18,11,16,12,1:16.259,1:16.101,\N
461,23,2,2,3,13,1:16.650,1:16.455,\N
462,23,6,3,8,14,1:16.756,1:16.479,\N
463,23,22,11,17,15,1:16.208,1:16.537,\N
464,23,7,5,14,16,1:16.806,\N,\N
465,23,12,4,6,17,1:16.933,\N,\N
466,23,20,5,15,18,1:16.955,\N,\N
467,23,16,10,20,19,1:17.225,\N,\N
468,23,21,10,21,20,1:17.823,\N,\N
469,24,1,1,22,1,1:16.909,1:17.034,1:17.886
470,24,9,2,4,2,1:17.471,1:17.679,1:18.498
471,24,8,6,1,3,1:17.301,1:17.364,1:18.735
472,24,4,4,5,4,1:17.415,1:17.488,1:18.746
473,24,3,3,7,5,1:17.991,1:17.891,1:18.844
474,24,13,6,2,6,1:17.231,1:17.353,1:19.048
475,24,5,1,23,7,1:17.287,1:17.684,1:19.089
476,24,2,2,3,8,1:18.082,1:17.781,1:19.633
477,24,22,11,17,9,1:18.256,1:18.020,1:20.848
478,24,17,9,10,10,1:17.582,1:17.523,\N
479,24,10,7,12,11,1:18.321,1:18.031,\N
480,24,6,3,8,12,1:17.638,1:18.062,\N
481,24,14,9,9,13,1:18.168,1:18.238,\N
482,24,15,7,11,14,1:18.039,1:18.327,\N
483,24,12,4,6,15,1:18.505,1:18.393,\N
484,24,7,5,14,16,1:18.916,\N,\N
485,24,16,10,20,17,1:19.108,\N,\N
486,24,21,10,21,18,1:19.165,\N,\N
487,24,18,11,16,19,1:23.565,\N,\N
488,24,20,5,15,20,\N,\N,\N
489,25,8,6,1,1,1:15.133,1:15.161,1:16.449
490,25,13,6,2,2,1:15.024,1:15.041,1:16.490
491,25,1,1,22,3,1:15.634,1:15.293,1:16.693
492,25,4,4,5,4,1:15.754,1:15.483,1:16.840
493,25,15,7,11,5,1:15.521,1:15.362,1:16.920
494,25,5,1,23,6,1:15.965,1:15.639,1:16.944
495,25,9,2,4,7,1:15.687,1:15.723,1:17.037
496,25,17,9,10,8,1:16.020,1:15.488,1:17.233
497,25,14,9,9,9,1:15.802,1:15.654,1:17.426
